뉴트리(270870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-13,13050,15200,12500,13900,7585278,125548.0,9032224.0
2018-12-14,13950,14150,12250,12400,1319494,112000.0,9032224.0
2018-12-17,12550,12650,10850,11100,1283514,100258.0,9032224.0
2018-12-18,10850,11750,10500,11300,612097,102064.0,9032224.0
2018-12-19,11100,12000,10950,11600,714513,104774.0,9032224.0
2018-12-20,11300,12300,11150,11650,417462,105225.0,9032224.0
2018-12-21,11550,12500,11500,11800,524889,106580.0,9032224.0
2018-12-24,11800,13000,11600,12200,707116,110193.0,9032224.0
2018-12-26,11950,12200,11550,11650,253114,105225.0,9032224.0
2018-12-27,11900,12050,11550,11850,204754,107032.0,9032224.0
2018-12-28,12000,12350,11650,12200,164996,110193.0,9032224.0
2019-01-02,12300,12500,11900,12000,158464,108387.0,9032224.0
2019-01-03,12000,12150,11350,11500,129369,103871.0,9032224.0
2019-01-04,11400,11550,10900,11400,112391,102967.0,9032224.0
2019-01-07,11500,11650,11050,11300,85916,102064.0,9032224.0
2019-01-08,11300,12400,11200,12250,392497,110645.0,9032224.0
2019-01-09,12100,13150,12100,12850,489839,116064.0,9032224.0
2019-01-10,13050,14350,12950,13500,776083,121935.0,9032224.0
2019-01-11,13300,13550,12850,13300,167841,120129.0,9032224.0
2019-01-14,13250,14000,13100,13850,278157,125096.0,9032224.0
2019-01-15,13950,14600,13500,14000,321136,126451.0,9032224.0
2019-01-16,14100,14300,13750,14100,158074,127354.0,9032224.0
2019-01-17,14100,14200,13000,13450,185833,121483.0,9032224.0
2019-01-18,13300,13750,13200,13700,125070,123741.0,9032224.0
2019-01-21,14000,14200,13650,14000,231410,126451.0,9032224.0
2019-01-22,14050,14500,13850,14150,146573,127806.0,9032224.0
2019-01-23,14200,14200,13400,13950,168698,126000.0,9032224.0
2019-01-24,13950,15700,13750,15300,1419323,138193.0,9032224.0
2019-01-25,15400,17850,15200,17000,1892988,153548.0,9032224.0
2019-01-28,17200,17300,16400,16400,461775,148128.0,9032224.0
2019-01-29,16300,16550,15900,16250,315594,146774.0,9032224.0
2019-01-30,16050,16150,15450,15700,282874,141806.0,9032224.0
2019-01-31,15800,16300,15300,15450,279570,139548.0,9032224.0
2019-02-01,15600,15700,14800,15300,205896,138193.0,9032224.0
2019-02-07,15550,16350,15050,16300,228335,147225.0,9032224.0
2019-02-08,16150,16500,15900,16200,124026,146322.0,9032224.0
2019-02-11,16350,17150,16100,17000,350980,153548.0,9032224.0
2019-02-12,17000,17100,16050,16500,267686,149032.0,9032224.0
2019-02-13,16600,16900,16250,16600,249920,149935.0,9032224.0
2019-02-14,16400,17000,16400,16850,254923,152193.0,9032224.0
2019-02-15,16650,16700,16000,16550,250858,149483.0,9032224.0
2019-02-18,16900,16900,15900,16250,282600,146774.0,9032224.0
2019-02-19,16250,16550,15850,16550,160075,149483.0,9032224.0
2019-02-20,16550,16550,15500,15500,492089,139999.0,9032224.0
2019-02-21,15500,15700,14850,15100,368209,136387.0,9032224.0
2019-02-22,14950,15100,14300,14550,307607,131419.0,9032224.0
2019-02-25,15000,15100,14650,14750,269077,133225.0,9032224.0
2019-02-26,15150,15850,15050,15750,473858,142258.0,9032224.0
2019-02-27,15850,15950,15550,15600,174208,140903.0,9032224.0
2019-02-28,15600,15800,15400,15550,197123,140451.0,9032224.0
2019-03-04,15850,16300,15550,16050,297752,144967.0,9032224.0
2019-03-05,16100,16100,15100,15550,286833,140451.0,9032224.0
2019-03-06,15550,15750,15450,15650,143389,141354.0,9032224.0
2019-03-07,15650,15700,15050,15600,134233,140903.0,9032224.0
2019-03-08,15500,15700,15050,15050,180941,135935.0,9032224.0
2019-03-11,15000,15450,14800,15050,157798,135935.0,9032224.0
2019-03-12,15500,15600,15050,15100,277477,136387.0,9032224.0
2019-03-13,15100,17450,15100,17050,1844723,153999.0,9032224.0
2019-03-14,17050,17250,16500,17050,515987,153999.0,9032224.0
2019-03-15,17250,18500,16700,17200,1713871,155354.0,9032224.0
2019-03-18,17700,19700,17600,19150,2378063,172967.0,9032224.0
2019-03-19,19100,20100,18650,20000,884297,180644.0,9032224.0
2019-03-20,19700,19950,18650,19800,778347,178838.0,9032224.0
2019-03-21,19600,19600,18700,19100,478168,172515.0,9032224.0
2019-03-22,19100,19750,18950,19550,531281,176580.0,9032224.0
2019-03-25,19200,19950,18300,18750,623327,169354.0,9032224.0
2019-03-26,19000,21400,18650,21100,1466219,190580.0,9032224.0
2019-03-27,20900,21350,20600,21100,372057,190580.0,9032224.0
2019-03-28,20900,21050,19650,19900,520097,179741.0,9032224.0
2019-03-29,20200,20800,19350,20700,383795,186967.0,9032224.0
2019-04-01,20800,22200,20800,21550,508318,194644.0,9032224.0
2019-04-02,21850,21950,21150,21450,223104,193741.0,9032224.0
2019-04-03,21600,21850,20950,21600,197751,195096.0,9032224.0
2019-04-04,21850,21850,20550,20750,372075,187419.0,9032224.0
2019-04-05,20900,21100,20550,20950,152607,189225.0,9032224.0
2019-04-08,20850,21500,20050,21400,331390,193290.0,9032224.0
2019-04-09,21700,21750,20850,21050,231898,190128.0,9032224.0
2019-04-10,20700,21100,20600,20800,153053,187870.0,9032224.0
2019-04-11,20900,21450,20800,20900,221021,188773.0,9032224.0
2019-04-12,21000,23850,20800,23200,1023575,209548.0,9032224.0
2019-04-15,23300,24350,22750,23300,383450,210451.0,9032224.0
2019-04-16,23300,23450,22550,22650,179932,204580.0,9032224.0
2019-04-17,23200,25200,22800,23000,853754,207741.0,9032224.0
2019-04-18,23750,24550,23300,24550,479783,221741.0,9032224.0
2019-04-19,24650,25250,23950,25150,350124,227160.0,9032224.0
2019-04-22,25450,26400,24850,25550,287554,230773.0,9032224.0
2019-04-23,25500,27750,24850,27450,495714,247935.0,9032224.0
2019-04-24,27450,28500,27050,27650,349321,249741.0,9032224.0
2019-04-25,27650,28100,26850,26850,192015,242515.0,9032224.0
2019-04-26,26900,28300,24350,25300,577606,228515.0,9032224.0
2019-04-29,25200,26450,24800,25750,277124,232580.0,9032224.0
2019-04-30,25800,26050,24800,25050,210754,226257.0,9032224.0
2019-05-02,24750,25900,24750,25000,205842,225806.0,9032224.0
2019-05-03,25000,25800,24350,24650,265264,222644.0,9032224.0
2019-05-07,24200,25200,24100,24600,153172,222193.0,9032224.0
2019-05-08,24650,24900,23200,23600,243997,213160.0,9032224.0
2019-05-09,23800,23800,22450,22850,234853,206386.0,9032224.0
2019-05-10,23050,23200,22150,23150,161250,209096.0,9032224.0
2019-05-13,23200,23450,21600,21600,206939,195096.0,9032224.0
2019-05-14,21100,22150,21000,21550,184163,194644.0,9032224.0
2019-05-15,21950,23950,21800,23350,377804,210902.0,9032224.0
2019-05-16,23150,23700,22450,23450,232486,211806.0,9032224.0
2019-05-17,23450,23700,22550,22900,218298,206838.0,9032224.0
2019-05-20,22950,27100,22600,25650,919460,231677.0,9032224.0
2019-05-21,25900,26350,24700,24850,336826,224451.0,9032224.0
2019-05-22,25350,25500,23650,23850,278752,215419.0,9032224.0
2019-05-23,24250,24600,23550,23700,202240,214064.0,9032224.0
2019-05-24,23500,23650,22400,22800,260477,205935.0,9032224.0
2019-05-27,22600,23300,21800,22150,188530,200064.0,9032224.0
2019-05-28,22200,22950,22150,22700,162958,205031.0,9032224.0
2019-05-29,22350,23300,21950,22800,191055,205935.0,9032224.0
2019-05-30,22950,23200,16200,17000,2085377,153548.0,9032224.0
2019-05-31,17050,18400,16350,17400,742903,157161.0,9032224.0
2019-06-03,17400,18350,17400,17800,420500,160774.0,9032224.0
2019-06-04,17650,18300,16800,17200,304985,155354.0,9032224.0
2019-06-05,17500,17550,17000,17250,140024,155806.0,9032224.0
