미래생명자원(218150),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-18,4050,4090,4010,4060,1426026,7166.0,3530000.0
2015-06-19,4050,4120,4050,4100,249772,7236.0,3530000.0
2015-06-22,4120,4130,4090,4110,110976,7254.0,3530000.0
2015-06-23,4130,4160,4110,4130,124772,7289.0,3530000.0
2015-06-24,4130,4140,4090,4120,62907,7272.0,3530000.0
2015-06-25,4120,4120,4100,4120,29612,7272.0,3530000.0
2015-06-26,4120,4180,4120,4180,93512,7378.0,3530000.0
2015-06-29,4180,4240,4160,4200,138617,7413.0,3530000.0
2015-06-30,4200,4300,4180,4260,87804,7519.0,3530000.0
2015-07-01,4300,4400,4270,4310,54232,7607.0,3530000.0
2015-07-02,4390,4390,4280,4360,40799,7695.0,3530000.0
2015-07-03,4290,4380,4250,4330,45827,7642.0,3530000.0
2015-07-06,4330,4340,4260,4280,75773,7554.0,3530000.0
2015-07-07,4370,4370,4280,4310,16467,7607.0,3530000.0
2015-07-08,4310,4390,4300,4360,19950,7695.0,3530000.0
2015-07-09,4350,4360,4300,4350,56884,7678.0,3530000.0
2015-07-10,4380,4400,4350,4360,31650,7695.0,3530000.0
2015-07-13,4360,4380,4350,4380,12175,7731.0,3530000.0
2015-07-14,4400,4400,4360,4400,20875,7766.0,3530000.0
2015-07-15,4400,4400,4360,4400,7358,7766.0,3530000.0
2015-07-16,4400,4400,4300,4330,25589,7642.0,3530000.0
2015-07-17,4370,4370,4330,4360,1784,7695.0,3530000.0
2015-07-20,4320,4400,4320,4400,41703,7766.0,3530000.0
2015-07-21,4400,4570,4400,4400,33865,7766.0,3530000.0
2015-07-22,4400,4510,4400,4480,11077,7907.0,3530000.0
2015-07-23,4560,4560,4460,4500,1571,7942.0,3530000.0
2015-07-24,4480,4530,4480,4530,15832,7995.0,3530000.0
2015-07-27,4510,4530,4400,4440,23839,7837.0,3530000.0
2015-07-28,4460,4550,4440,4500,12535,7942.0,3530000.0
2015-07-29,4470,4530,4470,4520,7335,7978.0,3530000.0
2015-07-30,4600,4790,4500,4570,44154,8066.0,3530000.0
2015-07-31,4730,4900,4670,4750,25731,8384.0,3530000.0
2015-08-03,4750,4750,4730,4730,9270,8348.0,3530000.0
2015-08-04,4770,4770,4720,4760,8105,8401.0,3530000.0
2015-08-05,4780,4780,4680,4700,6957,8296.0,3530000.0
2015-08-06,4660,5110,4660,4730,135739,8348.0,3530000.0
2015-08-07,4890,4890,4740,4750,37787,8384.0,3530000.0
2015-08-10,4760,4800,4700,4760,11951,8401.0,3530000.0
2015-08-11,4920,4920,4730,4770,7407,8419.0,3530000.0
2015-08-12,4630,4760,4600,4680,15287,8260.0,3530000.0
2015-08-13,4790,4790,4530,4570,10657,8066.0,3530000.0
2015-08-17,4500,4570,4500,4540,25002,8013.0,3530000.0
2015-08-18,4510,4670,4510,4510,4731,7960.0,3530000.0
2015-08-19,4500,4520,4430,4520,26186,7978.0,3530000.0
2015-08-20,4520,4520,4460,4520,1043,7978.0,3530000.0
2015-08-21,4510,4510,4370,4400,14213,7766.0,3530000.0
2015-08-24,4420,4600,4360,4370,16466,7713.0,3530000.0
2015-08-25,4340,4520,4340,4480,1525,7907.0,3530000.0
2015-08-26,4350,4500,4350,4500,7408,7942.0,3530000.0
2015-08-27,4450,4500,4430,4450,1461,7854.0,3530000.0
2015-08-28,4450,4570,4430,4520,4048,7978.0,3530000.0
2015-08-31,4510,4510,4440,4470,3722,7890.0,3530000.0
2015-09-01,4380,4460,4360,4410,15861,7784.0,3530000.0
2015-09-02,4370,4500,4370,4500,10027,7942.0,3530000.0
2015-09-03,4470,4470,4470,4470,100,7890.0,3530000.0
2015-09-04,4420,4440,4420,4440,4010,7837.0,3530000.0
2015-09-07,4360,4430,4320,4340,26841,7660.0,3530000.0
2015-09-08,4410,4410,4280,4340,16453,7660.0,3530000.0
2015-09-09,4360,4360,4320,4330,17625,7642.0,3530000.0
2015-09-10,4340,4380,4330,4350,13313,7678.0,3530000.0
2015-09-11,4300,4360,4280,4340,21636,7660.0,3530000.0
2015-09-14,4280,4330,4270,4330,14361,7642.0,3530000.0
2015-09-15,4260,4310,4250,4290,14593,7572.0,3530000.0
2015-09-16,4260,4300,4230,4300,16036,7590.0,3530000.0
2015-09-17,4250,4260,4210,4260,33857,7519.0,3530000.0
2015-09-18,4220,4250,4200,4220,19225,7448.0,3530000.0
2015-09-21,4210,4230,4190,4200,15395,7413.0,3530000.0
2015-09-22,4200,4260,4200,4220,19060,7448.0,3530000.0
2015-09-23,4240,4240,4130,4220,5889,7448.0,3530000.0
2015-09-24,4220,4220,4220,4220,1981,7448.0,3530000.0
2015-09-25,4190,4210,4190,4210,5199,7431.0,3530000.0
2015-09-30,4240,4240,4240,4240,38,7484.0,3530000.0
2015-10-01,4200,4240,4200,4240,3942,7484.0,3530000.0
2015-10-02,4200,4220,4200,4200,85087,7413.0,3530000.0
2015-10-05,4210,4270,4210,4220,2053,7448.0,3530000.0
2015-10-06,4220,4290,4210,4220,6506,7448.0,3530000.0
2015-10-07,4200,4240,4200,4230,3977,7466.0,3530000.0
2015-10-08,4230,4240,4230,4240,474,7484.0,3530000.0
2015-10-12,4240,4350,4220,4350,21990,7678.0,3530000.0
2015-10-13,4240,4330,4240,4320,7094,7625.0,3530000.0
2015-10-14,4260,4300,4210,4260,8955,7519.0,3530000.0
2015-10-15,4260,4300,4240,4280,5069,7554.0,3530000.0
2015-10-16,4380,4380,4250,4290,3416,7572.0,3530000.0
2015-10-19,4250,4250,4250,4250,378,7501.0,3530000.0
2015-10-20,4200,4270,4200,4270,10588,7537.0,3530000.0
2015-10-21,4210,4260,4210,4260,179,7519.0,3530000.0
2015-10-22,4210,4250,4210,4220,1044,7448.0,3530000.0
2015-10-23,4200,4290,4170,4220,8517,7448.0,3530000.0
2015-10-26,4170,4270,4170,4220,3645,7448.0,3530000.0
2015-10-27,4210,4210,4170,4200,16069,7413.0,3530000.0
2015-10-28,4200,4220,4180,4220,1389,7448.0,3530000.0
2015-10-29,4170,4200,4160,4200,4611,7413.0,3530000.0
2015-10-30,4220,4220,4140,4180,5373,7378.0,3530000.0
2015-11-02,4180,4190,4170,4190,23193,7395.0,3530000.0
2015-11-03,4180,4200,4180,4200,33855,7413.0,3530000.0
2015-11-04,4200,4200,4190,4190,640,7395.0,3530000.0
2015-11-05,4140,4190,4140,4140,11623,7307.0,3530000.0
2015-11-06,4120,4140,4070,4110,28875,7254.0,3530000.0
2015-11-09,4050,4150,4050,4090,6509,7219.0,3530000.0
2015-11-10,4110,4110,4070,4080,7966,7201.0,3530000.0
2015-11-11,4050,4090,4040,4080,3526,7201.0,3530000.0
2015-11-12,4050,4090,4050,4080,5597,7201.0,3530000.0
2015-11-13,4100,4100,4070,4090,3799,7219.0,3530000.0
2015-11-16,4050,4090,4050,4070,11334,7184.0,3530000.0
2015-11-17,4070,4080,4050,4060,4909,7166.0,3530000.0
2015-11-18,4070,4070,4010,4030,8536,7113.0,3530000.0
2015-11-19,4040,4040,4030,4030,2493,7113.0,3530000.0
2015-11-20,4050,4050,4020,4050,917,7148.0,3530000.0
2015-11-23,4010,4010,4010,4010,2967,7078.0,3530000.0
2015-11-24,4000,4030,4000,4010,8793,7078.0,3530000.0
2015-11-25,4080,4080,4000,4020,11244,7095.0,3530000.0
2015-11-26,4020,4060,4020,4040,7110,7131.0,3530000.0
2015-11-27,4010,4020,4010,4010,7318,7078.0,3530000.0
2015-11-30,4040,4040,4000,4010,7606,7078.0,3530000.0
2015-12-01,4010,4030,4000,4020,8150,7095.0,3530000.0
2015-12-02,4000,4020,4000,4000,19654,7060.0,3530000.0
2015-12-03,4000,4040,4000,4010,3745,7078.0,3530000.0
2015-12-04,4010,4010,4000,4000,3041,7060.0,3530000.0
2015-12-07,4000,4040,4000,4040,4300,7131.0,3530000.0
2015-12-08,4000,4010,4000,4010,1710,7078.0,3530000.0
2015-12-09,3990,4000,3990,4000,9894,7060.0,3530000.0
2015-12-10,4000,4000,3990,3990,5626,7042.0,3530000.0
2015-12-11,4010,4010,3990,3990,4238,7042.0,3530000.0
2015-12-14,3970,4000,3970,3990,4102,7042.0,3530000.0
2015-12-15,3990,4000,3990,4000,3169,7060.0,3530000.0
2015-12-16,4000,4000,4000,4000,510,7060.0,3530000.0
2015-12-17,4000,4000,3990,3990,3185,7042.0,3530000.0
2015-12-18,4000,4010,4000,4000,3840,7060.0,3530000.0
2015-12-21,4000,4000,3980,3990,8162,7042.0,3530000.0
2015-12-22,4000,4010,4000,4010,5000,7078.0,3530000.0
2015-12-23,4010,4070,4010,4070,8368,7184.0,3530000.0
2015-12-24,4010,4020,4000,4000,2416,7060.0,3530000.0
2015-12-28,4000,4000,4000,4000,2249,7060.0,3530000.0
2015-12-29,4020,4020,4020,4020,1,7095.0,3530000.0
2015-12-30,4040,4050,4040,4050,4276,7148.0,3530000.0
2016-01-04,4070,4070,4010,4060,6128,7166.0,3530000.0
2016-01-05,4020,4060,4020,4060,17816,7166.0,3530000.0
2016-01-06,4020,4040,4020,4040,2749,7131.0,3530000.0
2016-01-07,4040,4060,4040,4060,2403,7166.0,3530000.0
2016-01-08,4100,4100,4060,4060,2443,7166.0,3530000.0
2016-01-11,4060,4080,4060,4080,2928,7201.0,3530000.0
2016-01-12,4040,4050,4040,4040,614,7131.0,3530000.0
2016-01-13,4040,4050,4020,4050,10584,7148.0,3530000.0
2016-01-14,4010,4060,4010,4060,117,7166.0,3530000.0
2016-01-15,4010,4020,4000,4010,10074,7078.0,3530000.0
2016-01-18,4020,4070,4020,4070,2841,7184.0,3530000.0
2016-01-19,4010,4020,4010,4010,439,7078.0,3530000.0
2016-01-20,4010,4020,4000,4010,9248,7078.0,3530000.0
2016-01-21,4010,4030,4010,4030,1820,7113.0,3530000.0
2016-01-22,4040,4040,4040,4040,2248,7131.0,3530000.0
2016-01-25,4030,4040,4030,4040,2627,7131.0,3530000.0
2016-01-26,4060,4060,4060,4060,1,7166.0,3530000.0
2016-01-27,4070,4070,4020,4050,1318,7148.0,3530000.0
2016-01-28,4130,4130,4020,4080,2011,7201.0,3530000.0
2016-01-29,4090,4090,4070,4070,1015,7184.0,3530000.0
2016-02-01,4090,4090,4020,4020,334,7095.0,3530000.0
2016-02-02,4010,4100,4010,4100,984,7236.0,3530000.0
2016-02-03,4000,4000,4000,4000,227,7060.0,3530000.0
2016-02-04,4140,4140,3990,4020,4071,7095.0,3530000.0
2016-02-05,4000,4020,3980,4020,4064,7095.0,3530000.0
2016-02-11,3980,3980,3980,3980,3051,7025.0,3530000.0
2016-02-12,4140,4140,3990,4000,5471,7060.0,3530000.0
2016-02-15,4000,4020,3980,4020,4569,7095.0,3530000.0
2016-02-16,4020,4020,4020,4020,0,7095.0,3530000.0
2016-02-17,3990,4000,3980,3980,638,7025.0,3530000.0
2016-02-18,4030,4030,4010,4020,700,7095.0,3530000.0
2016-02-19,3990,4000,3990,4000,1019,7060.0,3530000.0
2016-02-22,3990,4000,3970,4000,53168,7060.0,3530000.0
2016-02-23,4000,4000,4000,4000,20000,7060.0,3530000.0
2016-02-24,4000,4000,4000,4000,1000,7060.0,3530000.0
2016-02-25,4000,4000,3980,4000,3488,7060.0,3530000.0
2016-02-26,3970,4000,3970,3980,2286,7025.0,3530000.0
2016-02-29,3990,4000,3970,4000,2104,7060.0,3530000.0
2016-03-02,3980,4000,3980,4000,1863,7060.0,3530000.0
2016-03-03,3980,3990,3950,3960,10202,6989.0,3530000.0
2016-03-04,3980,3980,3930,3970,27425,7007.0,3530000.0
2016-03-07,3980,3980,3960,3970,2197,7007.0,3530000.0
2016-03-08,3980,3980,3960,3960,318,6989.0,3530000.0
2016-03-09,3980,3980,3930,3930,4109,6936.0,3530000.0
2016-03-10,3970,3980,3930,3940,2855,6954.0,3530000.0
2016-03-11,3980,3980,3920,3980,2422,7025.0,3530000.0
2016-03-14,3980,3980,3960,3980,16,7025.0,3530000.0
2016-03-15,3980,3990,3970,3980,7868,7025.0,3530000.0
2016-03-16,3980,3980,3940,3960,185,6989.0,3530000.0
2016-03-17,3960,3960,3960,3960,8411,6989.0,3530000.0
2016-03-18,3960,3960,3960,3960,850,6989.0,3530000.0
2016-03-21,3950,3960,3950,3960,211,6989.0,3530000.0
2016-03-22,3980,3980,3980,3980,11384,7025.0,3530000.0
2016-03-23,3970,3970,3970,3970,10024,7007.0,3530000.0
2016-03-24,3930,3960,3930,3960,86,6989.0,3530000.0
2016-03-25,3950,3960,3930,3950,9461,6972.0,3530000.0
2016-03-28,4030,4030,3940,3960,3551,6989.0,3530000.0
2016-03-29,3940,3940,3940,3940,596,6954.0,3530000.0
2016-03-30,3950,3950,3940,3940,23,6954.0,3530000.0
2016-03-31,3940,3940,3930,3930,683,6936.0,3530000.0
2016-04-01,3930,3990,3930,3990,1846,7042.0,3530000.0
2016-04-04,3960,3960,3960,3960,1017,6989.0,3530000.0
2016-04-05,3960,4000,3960,4000,4582,7060.0,3530000.0
2016-04-06,3990,4000,3980,4000,1199,7060.0,3530000.0
2016-04-07,4000,4000,4000,4000,0,7060.0,3530000.0
2016-04-08,3980,4000,3940,3980,7191,7025.0,3530000.0
2016-04-11,3960,3970,3960,3970,2066,7007.0,3530000.0
2016-04-12,3950,3970,3950,3960,6064,6989.0,3530000.0
2016-04-14,3960,3990,3960,3990,201,7042.0,3530000.0
2016-04-15,3950,3960,3950,3950,448,6972.0,3530000.0
2016-04-18,3950,3980,3930,3980,5458,7025.0,3530000.0
2016-04-19,3940,3980,3940,3980,3943,7025.0,3530000.0
2016-04-20,3940,3940,3910,3910,3431,6901.0,3530000.0
2016-04-21,3950,3950,3940,3940,1200,6954.0,3530000.0
2016-04-22,3940,3940,3940,3940,0,6954.0,3530000.0
2016-04-25,3930,3980,3900,3920,3649,6919.0,3530000.0
2016-04-26,3920,3920,3850,3920,14144,6919.0,3530000.0
2016-04-27,3900,3930,3900,3910,714,6901.0,3530000.0
2016-04-28,3910,3920,3910,3920,816,6919.0,3530000.0
2016-04-29,3910,3940,3910,3940,2204,6954.0,3530000.0
2016-05-02,3940,3940,3940,3940,0,,
2016-05-03,3920,3940,3920,3940,209,6954.0,3530000.0
2016-05-04,3980,3990,3970,3980,1576,7025.0,3530000.0
2016-05-09,3970,3970,3970,3970,0,7007.0,3530000.0
2016-05-10,3940,3940,3940,3940,28,6954.0,3530000.0
2016-05-11,3940,3940,3940,3940,0,,
2016-05-12,3920,3950,3920,3950,452,6972.0,3530000.0
2016-05-13,3930,3940,3930,3940,2057,6954.0,3530000.0
2016-05-16,3970,3980,3930,3980,7565,7025.0,3530000.0
2016-05-17,3950,3950,3930,3940,1702,6954.0,3530000.0
2016-05-18,3930,3960,3930,3960,818,6989.0,3530000.0
2016-05-19,3950,3960,3950,3960,10476,6989.0,3530000.0
2016-05-20,3930,3960,3930,3960,16873,6989.0,3530000.0
2016-05-23,3930,4000,3910,3980,4588,7025.0,3530000.0
2016-05-24,3970,3970,3970,3970,1,7007.0,3530000.0
2016-05-25,3960,3960,3960,3960,279,6989.0,3530000.0
2016-05-26,3950,3950,3940,3940,42,6954.0,3530000.0
2016-05-27,3920,3960,3900,3940,8178,6954.0,3530000.0
2016-05-30,3900,3940,3890,3940,20770,6954.0,3530000.0
2016-05-31,3920,3920,3890,3900,36707,6884.0,3530000.0
2016-06-01,3920,3940,3890,3900,15369,6884.0,3530000.0
2016-06-02,3930,3930,3900,3930,131,6936.0,3530000.0
2016-06-03,3930,3930,3890,3890,33225,6866.0,3530000.0
2016-06-07,3900,3900,3800,3850,243274,6795.0,3530000.0
2016-06-08,3890,3900,3860,3900,19062,6884.0,3530000.0
2016-06-09,3890,3890,3870,3890,2356,6866.0,3530000.0
2016-06-10,3890,3900,3880,3900,4919,6884.0,3530000.0
2016-06-13,3870,3900,3870,3900,101,6884.0,3530000.0
2016-06-14,3890,3920,3890,3900,10465,6884.0,3530000.0
2016-06-15,3890,3900,3860,3900,10012,6884.0,3530000.0
2016-06-16,3900,4050,3880,3910,30898,6901.0,3530000.0
2016-06-17,3900,3930,3890,3930,74584,6936.0,3530000.0
2016-06-20,3920,3930,3920,3930,2100,6936.0,3530000.0
2016-06-21,3940,3940,3920,3940,29413,6954.0,3530000.0
2016-06-22,3920,3920,3920,3920,20778,6919.0,3530000.0
2016-06-23,3910,3930,3910,3930,2906,6936.0,3530000.0
2016-06-24,3920,3950,3900,3920,14778,6919.0,3530000.0
2016-06-27,3950,3950,3950,3950,10,6972.0,3530000.0
2016-06-28,3980,4000,3980,3990,29027,7042.0,3530000.0
2016-06-29,4000,4020,4000,4000,2928,7060.0,3530000.0
2016-06-30,4000,4070,3990,4060,858,7166.0,3530000.0
2016-07-01,4180,4300,4030,4050,124007,7148.0,3530000.0
2016-07-04,4000,4040,3980,4030,27949,7113.0,3530000.0
2016-07-05,4030,4030,3960,4020,14285,7095.0,3530000.0
2016-07-06,3960,4040,3960,4020,3525,7095.0,3530000.0
2016-07-07,4000,4030,3990,4020,47041,7095.0,3530000.0
2016-07-08,4010,4120,4010,4100,39222,7236.0,3530000.0
2016-07-11,4140,4180,4070,4180,52787,7378.0,3530000.0
2016-07-12,4240,4240,4180,4190,33787,7395.0,3530000.0
2016-07-13,4190,4230,4140,4200,8736,7413.0,3530000.0
2016-07-14,4030,4190,4030,4070,3275,7184.0,3530000.0
2016-07-15,4150,4150,4060,4100,14148,7236.0,3530000.0
2016-07-18,4070,4190,4070,4090,5420,7219.0,3530000.0
2016-07-19,4140,4140,4040,4080,98,7201.0,3530000.0
2016-07-20,4090,4090,4020,4060,573,7166.0,3530000.0
2016-07-21,4130,4130,4010,4050,1265,7148.0,3530000.0
2016-07-22,4050,4050,4050,4050,492,7148.0,3530000.0
2016-07-25,4050,4050,4010,4040,1718,7131.0,3530000.0
2016-07-26,4020,4060,4020,4060,523,7166.0,3530000.0
2016-07-27,4020,4070,4010,4060,3541,7166.0,3530000.0
2016-07-28,4020,4120,4020,4120,3907,7272.0,3530000.0
2016-07-29,4120,4220,4100,4220,21422,7448.0,3530000.0
2016-08-01,4590,5170,4490,4790,1271529,8454.0,3530000.0
2016-08-02,5250,5250,4820,4970,790109,8772.0,3530000.0
2016-08-03,5230,5380,4430,4680,990576,8260.0,3530000.0
2016-08-04,4610,4930,4610,4930,454077,8701.0,3530000.0
2016-08-05,4930,5190,4580,4580,602268,8084.0,3530000.0
2016-08-08,4560,4900,4560,4900,250323,8648.0,3530000.0
2016-08-09,4830,5030,4820,5000,196857,8825.0,3530000.0
2016-08-10,5000,5020,4800,4940,141429,8719.0,3530000.0
2016-08-11,4900,4900,4680,4900,273637,8648.0,3530000.0
2016-08-12,5000,5140,4700,4840,152470,8543.0,3530000.0
2016-08-16,4600,4600,4460,4510,544574,7960.0,3530000.0
2016-08-17,4510,4560,4450,4530,141635,7995.0,3530000.0
2016-08-18,4660,4950,4600,4600,148245,8119.0,3530000.0
2016-08-19,4730,4790,4590,4790,131220,8454.0,3530000.0
2016-08-22,4790,4950,4670,4690,169279,8278.0,3530000.0
2016-08-23,4660,4720,4600,4670,79050,8243.0,3530000.0
2016-08-24,4640,4760,4540,4700,172402,8296.0,3530000.0
2016-08-25,4890,5970,4890,5380,953643,9496.0,3530000.0
2016-08-26,5310,5310,4700,4790,405266,8454.0,3530000.0
2016-08-29,4930,5180,4790,5150,271965,9090.0,3530000.0
2016-08-30,5280,5280,4920,4930,148195,8701.0,3530000.0
2016-08-31,4770,5020,4770,4940,225539,8719.0,3530000.0
2016-09-01,4940,5310,4870,4950,272903,8737.0,3530000.0
2016-09-02,4940,4980,4700,4750,207649,8384.0,3530000.0
2016-09-05,4800,4800,4700,4740,199946,8366.0,3530000.0
2016-09-06,4860,4960,4740,4740,177425,8366.0,3530000.0
2016-09-07,4780,4930,4670,4730,246646,8348.0,3530000.0
2016-09-08,4720,4830,4680,4720,266821,8331.0,3530000.0
2016-09-09,4720,4720,4520,4520,180498,7978.0,3530000.0
2016-09-12,4510,4510,4330,4330,332464,7642.0,3530000.0
2016-09-13,4390,4670,4380,4430,135293,7819.0,3530000.0
2016-09-19,4300,4450,4280,4390,125263,7748.0,3530000.0
2016-09-20,4430,4430,4300,4340,109752,7660.0,3530000.0
2016-09-21,4420,4420,4260,4270,95144,7537.0,3530000.0
2016-09-22,4290,4370,4240,4250,61679,7501.0,3530000.0
2016-09-23,4300,4320,4250,4260,52054,7519.0,3530000.0
2016-09-26,4250,4320,4170,4170,74581,7360.0,3530000.0
2016-09-27,4130,4310,4130,4220,89162,7448.0,3530000.0
2016-09-28,4260,4260,4180,4230,51770,7466.0,3530000.0
2016-09-29,4390,4390,4230,4240,60174,7484.0,3530000.0
2016-09-30,4220,4640,4220,4390,313010,7748.0,3530000.0
2016-10-04,4380,4610,4360,4610,140116,8137.0,3530000.0
2016-10-05,4640,4700,4430,4500,96319,7942.0,3530000.0
2016-10-06,4440,4480,4330,4330,76647,7642.0,3530000.0
2016-10-07,4680,4680,4330,4400,88134,7766.0,3530000.0
2016-10-10,4400,4400,4260,4290,65821,7572.0,3530000.0
2016-10-11,4300,4360,4220,4350,62674,7678.0,3530000.0
2016-10-12,4340,4390,4240,4300,55323,7590.0,3530000.0
2016-10-13,4340,4340,4280,4300,80026,7590.0,3530000.0
2016-10-14,4370,4370,4240,4320,23018,7625.0,3530000.0
2016-10-17,4360,4360,4270,4290,27988,7572.0,3530000.0
2016-10-18,4260,4270,4160,4210,69206,7431.0,3530000.0
2016-10-19,4210,4210,4120,4190,70661,7395.0,3530000.0
2016-10-20,4190,4220,4080,4120,113833,7272.0,3530000.0
2016-10-21,4120,4120,4070,4100,70985,7236.0,3530000.0
2016-10-24,4110,4210,4090,4130,40705,7289.0,3530000.0
2016-10-25,4120,4150,4100,4130,47068,7289.0,3530000.0
2016-10-26,4130,4140,4080,4100,27962,7236.0,3530000.0
2016-10-27,4100,4360,4090,4280,44420,7554.0,3530000.0
2016-10-28,4220,4590,4220,4530,289836,7995.0,3530000.0
2016-10-31,4580,4950,4470,4810,488974,8490.0,3530000.0
2016-11-01,4900,5360,4320,4430,573620,7819.0,3530000.0
2016-11-02,4330,4390,4040,4050,561751,7148.0,3530000.0
2016-11-03,4080,4120,4070,4100,126787,7236.0,3530000.0
2016-11-04,4100,4140,4080,4110,62024,7254.0,3530000.0
2016-11-07,4100,4200,4100,4140,24043,7307.0,3530000.0
2016-11-08,4140,4160,4110,4150,25025,7325.0,3530000.0
2016-11-09,4180,4180,4000,4040,213664,7131.0,3530000.0
2016-11-10,4150,4150,4060,4090,32078,7219.0,3530000.0
2016-11-11,4130,4160,4070,4150,30505,7325.0,3530000.0
2016-11-14,4150,4220,4130,4190,33327,7395.0,3530000.0
2016-11-15,4200,4420,4200,4340,143375,7660.0,3530000.0
2016-11-16,4330,4380,4250,4310,43934,7607.0,3530000.0
2016-11-17,4230,4370,4180,4370,85112,7713.0,3530000.0
2016-11-18,4350,4360,4240,4260,50692,7519.0,3530000.0
2016-11-21,4270,4280,4220,4260,25404,7519.0,3530000.0
2016-11-22,4320,4370,4230,4330,27554,7642.0,3530000.0
2016-11-23,4380,4380,4250,4270,30597,7537.0,3530000.0
2016-11-24,4310,4310,4220,4220,50376,7448.0,3530000.0
2016-11-25,4280,4340,4270,4310,26426,7607.0,3530000.0
2016-11-28,4310,4310,4230,4270,20019,7537.0,3530000.0
2016-11-29,4320,4320,4250,4290,19557,7572.0,3530000.0
2016-11-30,4290,4290,4240,4260,20957,7519.0,3530000.0
2016-12-01,4240,4240,4210,4220,44425,7448.0,3530000.0
2016-12-02,4180,4200,4160,4200,32573,7413.0,3530000.0
2016-12-05,4200,4200,4150,4200,32410,7413.0,3530000.0
2016-12-06,4200,4230,4190,4200,22087,7413.0,3530000.0
2016-12-07,4180,4200,4140,4160,39838,7342.0,3530000.0
2016-12-08,4150,4170,4140,4150,25625,7325.0,3530000.0
2016-12-09,4150,4190,4140,4150,10150,7325.0,3530000.0
2016-12-12,4140,4220,4130,4130,37820,7289.0,3530000.0
2016-12-13,4160,4160,4110,4120,25688,7272.0,3530000.0
2016-12-14,4110,4160,4110,4160,7986,7342.0,3530000.0
2016-12-15,4120,4160,4120,4150,27517,7325.0,3530000.0
2016-12-16,4150,4170,4130,4140,34980,7307.0,3530000.0
2016-12-19,4120,4150,4110,4110,12020,7254.0,3530000.0
2016-12-20,4090,4130,4090,4100,72505,7236.0,3530000.0
2016-12-21,4080,4090,4030,4090,40501,7219.0,3530000.0
2016-12-22,4020,4060,4020,4050,44849,7148.0,3530000.0
2016-12-23,4060,4070,4030,4070,13543,7184.0,3530000.0
2016-12-26,4070,4070,4020,4050,17784,7148.0,3530000.0
