케어젠(214370),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-14,0,0,0,76500,0,,
2019-05-15,0,0,0,76500,0,,
2019-05-16,0,0,0,76500,0,,
2019-05-17,0,0,0,76500,0,,
2019-05-20,0,0,0,76500,0,,
2019-05-21,0,0,0,76500,0,,
2019-05-22,0,0,0,76500,0,,
2019-05-23,0,0,0,76500,0,,
2019-05-24,0,0,0,76500,0,,
2019-05-27,0,0,0,76500,0,,
2019-05-28,0,0,0,76500,0,,
2019-05-29,0,0,0,76500,0,,
2019-05-30,0,0,0,76500,0,,
2019-05-31,0,0,0,76500,0,,
2019-06-03,0,0,0,76500,0,,
2019-06-04,0,0,0,76500,0,,
2019-06-05,0,0,0,76500,0,,
2019-06-07,0,0,0,76500,0,,
2019-06-10,0,0,0,76500,0,,
2019-06-11,0,0,0,76500,0,,
2019-06-12,0,0,0,76500,0,,
2019-06-13,0,0,0,76500,0,,
2019-06-14,0,0,0,76500,0,,
2019-06-17,0,0,0,76500,0,,
2019-06-18,0,0,0,76500,0,,
2019-06-19,0,0,0,76500,0,,
2019-06-20,0,0,0,76500,0,,
2019-06-21,0,0,0,76500,0,,
2019-06-24,0,0,0,76500,0,,
2019-06-25,0,0,0,76500,0,,
2019-06-26,0,0,0,76500,0,,
2019-06-27,0,0,0,76500,0,,
2019-06-28,0,0,0,76500,0,,
2019-07-01,0,0,0,76500,0,,
2019-07-02,0,0,0,76500,0,,
2019-07-03,0,0,0,76500,0,,
2019-07-04,0,0,0,76500,0,,
2019-07-05,0,0,0,76500,0,,
2019-07-08,0,0,0,76500,0,,
2019-07-09,0,0,0,76500,0,,
2019-07-10,0,0,0,76500,0,,
2019-07-11,0,0,0,76500,0,,
2019-07-12,0,0,0,76500,0,,
2019-07-15,0,0,0,76500,0,,
2019-07-16,0,0,0,76500,0,,
2019-07-17,0,0,0,76500,0,,
2019-07-18,0,0,0,76500,0,,
2019-07-19,0,0,0,76500,0,,
2019-07-22,0,0,0,76500,0,,
2019-07-23,0,0,0,76500,0,,
2019-07-24,0,0,0,76500,0,,
2019-07-25,0,0,0,76500,0,,
2019-07-26,0,0,0,76500,0,,
2019-07-29,0,0,0,76500,0,,
2019-07-30,0,0,0,76500,0,,
2019-07-31,0,0,0,76500,0,,
2019-08-01,0,0,0,76500,0,,
2019-08-02,0,0,0,76500,0,,
2019-08-05,0,0,0,76500,0,,
2019-08-06,0,0,0,76500,0,,
2019-08-07,0,0,0,76500,0,,
2019-08-08,0,0,0,76500,0,,
2019-08-09,0,0,0,76500,0,,
2019-08-12,0,0,0,76500,0,,
2019-08-13,0,0,0,76500,0,,
2019-08-14,0,0,0,76500,0,,
2019-08-16,0,0,0,76500,0,,
2019-08-19,0,0,0,76500,0,,
2019-08-20,0,0,0,76500,0,,
2019-08-21,0,0,0,76500,0,,
2019-08-22,0,0,0,76500,0,,
2019-08-23,0,0,0,76500,0,,
2019-08-26,0,0,0,76500,0,,
2019-08-27,0,0,0,76500,0,,
2019-08-28,0,0,0,76500,0,,
2019-08-29,0,0,0,76500,0,,
2019-08-30,0,0,0,76500,0,,
2019-09-02,0,0,0,76500,0,,
2019-09-03,0,0,0,76500,0,,
2019-09-04,0,0,0,76500,0,,
2019-09-05,0,0,0,76500,0,,
2019-09-06,0,0,0,76500,0,,
2019-09-09,0,0,0,76500,0,,
2019-09-10,0,0,0,76500,0,,
2019-09-11,0,0,0,76500,0,,
2019-09-16,0,0,0,76500,0,,
2019-09-17,0,0,0,76500,0,,
2019-09-18,0,0,0,76500,0,,
2019-09-19,0,0,0,76500,0,,
2019-09-20,0,0,0,76500,0,,
2019-09-23,0,0,0,76500,0,,
2019-09-24,0,0,0,76500,0,,
2019-09-25,0,0,0,76500,0,,
2019-09-26,0,0,0,76500,0,,
2019-09-27,0,0,0,76500,0,,
2019-09-30,0,0,0,76500,0,,
2019-10-01,0,0,0,76500,0,,
2019-10-02,0,0,0,76500,0,,
2019-10-04,0,0,0,76500,0,,
2019-10-07,0,0,0,76500,0,,
