유니트론텍(142210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-02-02,8445,9013,6876,8296,3103135,82270.0,3310650.0
2016-02-03,8896,9113,7694,7945,1304238,78793.0,3310650.0
2016-02-04,7778,7794,6693,6860,529006,68034.0,3310650.0
2016-02-05,6943,7010,6509,6510,316346,64558.0,3310650.0
2016-02-11,6159,6259,5725,5859,253284,58102.0,3310650.0
2016-02-12,6125,6743,5775,5909,673395,58599.0,3310650.0
2016-02-15,6058,6175,5541,5541,179040,54957.0,3310650.0
2016-02-16,5608,6359,5574,5959,344427,59095.0,3310650.0
2016-02-17,5925,6275,5841,5925,172051,58764.0,3310650.0
2016-02-18,6142,6325,6008,6009,115113,59592.0,3310650.0
2016-02-19,6008,6075,5675,5975,105289,59261.0,3310650.0
2016-02-22,5975,6442,5925,6376,147178,63233.0,3310650.0
2016-02-23,6442,6492,6125,6192,67041,61413.0,3310650.0
2016-02-24,6209,6275,5992,6142,52410,60916.0,3310650.0
2016-02-25,6192,6192,5908,5909,41045,58599.0,3310650.0
2016-02-26,5908,6409,5741,6209,92645,61578.0,3310650.0
2016-02-29,6342,6676,6125,6543,126261,64889.0,3310650.0
2016-03-02,6409,6476,6125,6309,138061,62571.0,3310650.0
2016-03-03,6292,6292,5992,6109,70340,60585.0,3310650.0
2016-03-04,6108,6142,5875,5909,71114,58599.0,3310650.0
2016-03-07,5925,6008,5841,5909,45581,58599.0,3310650.0
2016-03-08,5975,6008,5775,5942,50065,58930.0,3310650.0
2016-03-09,5992,6042,5858,5909,34500,58599.0,3310650.0
2016-03-10,5975,6309,5858,6243,135235,61909.0,3310650.0
2016-03-11,6242,6309,6092,6142,46513,60916.0,3310650.0
2016-03-14,6209,6209,5942,6009,43348,59592.0,3310650.0
2016-03-15,6175,6209,5891,5892,39261,58433.0,3310650.0
2016-03-16,5908,6142,5875,6109,52924,60585.0,3310650.0
2016-03-17,6075,6442,5942,6326,127932,62737.0,3310650.0
2016-03-18,6325,6492,6192,6276,92415,62240.0,3310650.0
2016-03-21,6242,6342,6175,6192,33275,61413.0,3310650.0
2016-03-22,6192,6209,5975,6059,56755,60088.0,3310650.0
2016-03-23,6058,6409,5891,6309,104819,62571.0,3310650.0
2016-03-24,6442,6776,6209,6309,185309,62571.0,3310650.0
2016-03-25,6325,6659,6175,6643,120943,65882.0,3310650.0
2016-03-28,6693,7260,6676,6827,339643,67703.0,3310650.0
2016-03-29,6793,7077,6643,6843,99551,67868.0,3310650.0
2016-03-30,7010,7177,6926,7027,83911,69689.0,3310650.0
2016-03-31,7160,7494,7110,7261,165890,72007.0,3310650.0
2016-04-01,7260,7327,6843,7044,90197,69855.0,3310650.0
2016-04-04,7010,7360,6776,7361,80179,73000.0,3310650.0
2016-04-05,7377,7644,7260,7645,85866,75814.0,3310650.0
2016-04-06,7644,7894,7544,7895,100869,78297.0,3310650.0
2016-04-07,7811,8328,7811,7978,140197,79125.0,3310650.0
2016-04-08,7978,8145,7544,7728,92704,76642.0,3310650.0
2016-04-11,7844,7945,7627,7778,64525,77138.0,3310650.0
2016-04-12,7627,7945,7410,7912,51660,78462.0,3310650.0
2016-04-14,7928,8161,7744,7795,60838,77304.0,3310650.0
2016-04-15,7794,7911,7577,7845,51647,77800.0,3310650.0
2016-04-18,7844,7844,7594,7695,22457,76310.0,3310650.0
2016-04-19,7644,7844,7627,7678,23348,76145.0,3310650.0
2016-04-20,7677,7911,7644,7912,65922,78462.0,3310650.0
2016-04-21,7878,8061,7844,8045,63882,79787.0,3310650.0
2016-04-22,8061,8278,7811,8045,112158,79787.0,3310650.0
2016-04-25,8061,8061,7778,7978,36369,79125.0,3310650.0
2016-04-26,8011,8011,7627,7711,53181,76476.0,3310650.0
2016-04-27,7711,7711,7193,7227,60828,71676.0,3310650.0
2016-04-28,7327,7327,6926,7060,52990,70020.0,3310650.0
2016-04-29,7143,7294,7010,7261,25922,72007.0,3310650.0
2016-05-02,7210,7260,7010,7010,14435,69524.0,3310650.0
2016-05-03,7010,7661,6893,7294,42654,72338.0,3310650.0
2016-05-04,7160,7544,7160,7444,19604,73827.0,3310650.0
2016-05-09,7544,7611,7243,7428,15363,73662.0,3310650.0
2016-05-10,7377,7544,7344,7344,26275,72834.0,3310650.0
2016-05-11,7344,7844,7344,7795,48434,77304.0,3310650.0
2016-05-12,7794,8078,7527,7695,100894,76310.0,3310650.0
2016-05-13,7794,8061,7611,8012,68850,79456.0,3310650.0
2016-05-16,8145,8145,7744,8012,33556,79456.0,3310650.0
2016-05-17,7978,7978,7577,7778,38270,77138.0,3310650.0
2016-05-18,7828,7828,7427,7745,15108,76807.0,3310650.0
2016-05-19,7544,7794,7460,7578,17119,75152.0,3310650.0
2016-05-20,7577,7661,7344,7378,18235,73165.0,3310650.0
2016-05-23,7377,7410,7110,7361,16053,73000.0,3310650.0
2016-05-24,7394,7394,7160,7194,9762,71345.0,3310650.0
2016-05-25,7327,7961,7327,7544,55373,74821.0,3310650.0
2016-05-26,7477,7677,7394,7478,22205,74159.0,3310650.0
2016-05-27,7477,7477,7277,7411,11209,73496.0,3310650.0
2016-05-30,7494,7794,7477,7711,29185,76476.0,3310650.0
2016-05-31,7594,7778,7511,7611,15398,75483.0,3310650.0
2016-06-01,7611,7694,7344,7478,25029,74159.0,3310650.0
2016-06-02,7477,7711,7477,7611,40048,75483.0,3310650.0
2016-06-03,7744,8612,7744,8329,194390,82601.0,3310650.0
2016-06-07,8345,8479,8078,8312,66452,82435.0,3310650.0
2016-06-08,8345,8729,8195,8679,84105,86077.0,3310650.0
2016-06-09,8679,8846,8312,8713,65692,86408.0,3310650.0
2016-06-10,8746,8812,8529,8713,37992,86408.0,3310650.0
2016-06-13,8696,8696,8328,8496,30241,84256.0,3310650.0
2016-06-14,8495,8946,8412,8713,43730,86408.0,3310650.0
2016-06-15,8595,8929,8595,8763,33609,86905.0,3310650.0
2016-06-16,8796,8846,8312,8596,42191,85249.0,3310650.0
2016-06-17,8512,8629,8212,8513,32633,84422.0,3310650.0
2016-06-20,8395,8612,8295,8579,17732,85084.0,3310650.0
2016-06-21,8562,8579,8362,8579,21317,85084.0,3310650.0
2016-06-22,8579,8579,8362,8446,14390,83759.0,3310650.0
2016-06-23,8445,8445,7961,8245,24522,81773.0,3310650.0
2016-06-24,8095,8462,7260,7611,63816,75483.0,3310650.0
2016-06-27,7077,7444,7077,7344,41543,72834.0,3310650.0
2016-06-28,7310,7828,7243,7778,28881,77138.0,3310650.0
2016-06-29,7828,8128,7811,8045,32996,79787.0,3310650.0
2016-06-30,8078,8078,7811,7945,16911,78793.0,3310650.0
2016-07-01,7945,8161,7911,7995,20476,79290.0,3310650.0
2016-07-04,8228,8228,7844,8079,19391,80118.0,3310650.0
2016-07-05,8045,8128,7945,8129,19251,80614.0,3310650.0
2016-07-06,7995,8145,7694,7878,26176,78131.0,3310650.0
2016-07-07,7794,8512,7778,8396,56764,83263.0,3310650.0
2016-07-08,8479,8479,8095,8212,13944,81442.0,3310650.0
2016-07-11,8212,8362,8111,8296,20325,82270.0,3310650.0
2016-07-12,8328,8979,8145,8780,84661,87070.0,3310650.0
2016-07-13,8829,9614,8829,9581,175457,95016.0,3310650.0
2016-07-14,9680,9797,9397,9681,87208,96009.0,3310650.0
2016-07-15,9513,9614,9213,9464,32264,93857.0,3310650.0
2016-07-18,9380,9513,9013,9264,40811,91871.0,3310650.0
2016-07-19,9330,9547,9180,9447,35801,93691.0,3310650.0
2016-07-20,9413,10148,9263,10065,118793,99816.0,3310650.0
2016-07-21,9964,10331,9897,9898,43290,98161.0,3310650.0
2016-07-22,9981,9981,9614,9948,31484,98657.0,3310650.0
2016-07-25,9947,10064,9513,9547,45152,94685.0,3310650.0
2016-07-26,9680,9697,9447,9664,28998,95843.0,3310650.0
2016-07-27,9697,10081,9597,9814,52494,97333.0,3310650.0
2016-07-28,9881,10699,9781,10682,104621,105941.0,3310650.0
2016-07-29,10799,11082,10482,10599,80081,105113.0,3310650.0
2016-08-01,10565,10899,10381,10899,40258,108093.0,3310650.0
2016-08-02,10899,10982,10482,10816,52205,107265.0,3310650.0
2016-08-03,10665,10899,10548,10616,22497,105279.0,3310650.0
2016-08-04,10899,10899,10465,10566,22275,104782.0,3310650.0
2016-08-05,10548,10665,10181,10282,28669,101968.0,3310650.0
2016-08-08,10415,10415,9680,9681,54459,96009.0,3310650.0
2016-08-09,9463,9847,9430,9581,45661,95016.0,3310650.0
2016-08-10,9497,9614,9113,9447,60847,93691.0,3310650.0
2016-08-11,9447,9697,9313,9648,27901,95678.0,3310650.0
2016-08-12,9747,10348,9280,9547,197597,94685.0,3310650.0
2016-08-16,9630,9680,8846,9013,66814,89388.0,3310650.0
2016-08-17,9180,9196,8679,9013,50501,89388.0,3310650.0
2016-08-18,8929,9180,8929,9047,29593,89719.0,3310650.0
2016-08-19,9046,9296,9013,9264,14646,91871.0,3310650.0
2016-08-22,9180,9480,9146,9297,13568,92202.0,3310650.0
2016-08-23,9296,9413,9213,9330,8867,92533.0,3310650.0
2016-08-24,9347,9347,8929,9063,28798,89884.0,3310650.0
2016-08-25,9063,9330,8846,9330,15646,92533.0,3310650.0
2016-08-26,9347,9497,9196,9414,16353,93360.0,3310650.0
2016-08-29,9380,9430,8913,9013,19800,89388.0,3310650.0
2016-08-30,9013,9180,8762,8963,14625,88891.0,3310650.0
2016-08-31,8996,8996,8362,8596,31664,85249.0,3310650.0
2016-09-01,8378,8679,8378,8679,14178,86077.0,3310650.0
2016-09-02,8762,8762,8378,8679,11245,86077.0,3310650.0
2016-09-05,8529,8846,8529,8713,11798,86408.0,3310650.0
2016-09-06,8762,8762,8445,8696,16099,86242.0,3310650.0
2016-09-07,8545,8679,8245,8446,26443,83759.0,3310650.0
2016-09-08,8328,8462,7828,8145,36405,80780.0,3310650.0
2016-09-09,8145,8479,7828,8162,16779,80945.0,3310650.0
2016-09-12,8145,8612,7844,7895,29203,78297.0,3310650.0
2016-09-13,7995,8228,7661,7862,34481,77966.0,3310650.0
2016-09-19,7878,7945,7594,7778,29625,77138.0,3310650.0
2016-09-20,7694,7945,7611,7945,15735,78793.0,3310650.0
2016-09-21,7928,8495,7828,8396,45529,83263.0,3310650.0
2016-09-22,8579,8762,8345,8679,28858,86077.0,3310650.0
2016-09-23,8629,8946,8579,8780,29369,87070.0,3310650.0
2016-09-26,8929,8963,8712,8863,16329,87898.0,3310650.0
2016-09-27,8913,8913,8562,8729,14501,86573.0,3310650.0
2016-09-28,8746,8779,8595,8746,24424,86739.0,3310650.0
2016-09-29,8729,9046,8646,8913,24069,88394.0,3310650.0
2016-09-30,8913,8963,8679,8880,15977,88063.0,3310650.0
2016-10-04,8879,8963,8679,8913,23720,88394.0,3310650.0
2016-10-05,8979,9864,8946,9531,100210,94519.0,3310650.0
2016-10-06,9497,9564,9230,9464,85108,93857.0,3310650.0
2016-10-07,9447,10298,9447,10015,206349,99320.0,3310650.0
2016-10-10,10999,13019,10632,13019,2459118,129115.0,3310650.0
2016-10-11,13419,13436,12101,12952,1234764,128453.0,3310650.0
2016-10-12,13252,13953,12768,12936,999222,128288.0,3310650.0
2016-10-13,12735,13219,12351,12351,467010,122494.0,3310650.0
2016-10-14,12217,12651,11700,11701,369867,116038.0,3310650.0
2016-10-17,11683,11834,11183,11834,346958,117363.0,3310650.0
2016-10-18,11884,12117,11249,11250,300700,111569.0,3310650.0
2016-10-19,11149,11950,10799,11400,423286,113059.0,3310650.0
2016-10-20,11249,11900,11233,11834,196343,117363.0,3310650.0
2016-10-21,11750,12151,11183,11550,238341,114548.0,3310650.0
2016-10-24,11400,11934,11350,11350,298710,112562.0,3310650.0
2016-10-25,13950,14700,13050,13850,1764929,45853.0,3310650.0
2016-10-26,13250,13400,11700,11800,556105,39066.0,3310650.0
2016-10-27,11600,11800,11100,11250,272876,37245.0,3310650.0
2016-10-28,11250,11250,10100,10100,292526,33438.0,3310650.0
2016-10-31,10350,10350,9650,9650,178941,31948.0,3310650.0
2016-11-01,9640,9990,9550,9630,118850,31882.0,3310650.0
2016-11-02,9650,9700,9140,9140,113459,30259.0,3310650.0
2016-11-03,9080,9650,9070,9400,100857,31120.0,3310650.0
2016-11-04,9310,9320,9070,9200,55601,30458.0,3310650.0
2016-11-07,9300,9640,9290,9630,58625,31882.0,3310650.0
2016-11-08,9650,9720,9390,9570,42970,31683.0,3310650.0
2016-11-09,9520,9570,8420,8970,193063,29697.0,3310650.0
2016-11-10,9120,9350,8830,9210,80609,30491.0,3310650.0
2016-11-11,8930,9420,8810,9250,129251,30624.0,3310650.0
2016-11-14,9220,9260,8970,9080,46416,30061.0,3310650.0
2016-11-15,8710,8900,8560,8750,692849,86905.0,9931950.0
2016-11-16,8800,9120,8600,9120,258764,90579.0,9931950.0
2016-11-17,9120,9120,8590,8750,297680,86905.0,9931950.0
2016-11-18,8710,8750,8120,8230,340752,81740.0,9931950.0
2016-11-21,8100,8200,7790,7800,192555,77469.0,9931950.0
2016-11-22,7820,8200,7710,8050,166480,79952.0,9931950.0
2016-11-23,7930,8030,7590,7660,172767,76079.0,9931950.0
2016-11-24,7600,7770,7280,7370,210930,73198.0,9931950.0
2016-11-25,7400,7530,7000,7520,111433,74688.0,9931950.0
2016-11-28,7530,7550,7260,7430,121920,73794.0,9931950.0
2016-11-29,7360,7530,7150,7420,121552,73695.0,9931950.0
2016-11-30,7350,7450,7180,7370,100120,73198.0,9931950.0
2016-12-01,7420,7420,7200,7250,122083,72007.0,9931950.0
2016-12-02,7240,7260,6940,7080,117530,70318.0,9931950.0
2016-12-05,6930,6970,6600,6800,213634,67537.0,9931950.0
2016-12-06,6800,7030,6800,6930,114164,68828.0,9931950.0
2016-12-07,7000,7900,6900,7330,1579983,72801.0,9931950.0
2016-12-08,7330,7650,7140,7570,356958,75185.0,9931950.0
2016-12-09,7620,7850,7270,7350,539162,73000.0,9931950.0
2016-12-12,7510,7880,7440,7680,440092,76277.0,9931950.0
2016-12-13,7740,8070,7740,7930,287876,78760.0,9931950.0
2016-12-14,8010,8590,7880,8390,511000,83329.0,9931950.0
2016-12-15,8390,8550,8240,8420,279518,83627.0,9931950.0
2016-12-16,8520,8540,8250,8340,219154,82832.0,9931950.0
2016-12-19,8410,8410,8080,8270,162513,82137.0,9931950.0
2016-12-20,8430,8690,8280,8670,308198,86110.0,9931950.0
2016-12-21,8750,9030,8650,8930,306083,88692.0,9931950.0
2016-12-22,8990,9000,8680,8780,147514,87203.0,9931950.0
2016-12-23,8700,8790,8410,8510,137078,84521.0,9931950.0
2016-12-26,8550,8930,8520,8740,204283,86805.0,9931950.0
2016-12-27,8900,9070,8800,8800,230215,87401.0,9931950.0
2016-12-28,8700,8780,8470,8640,179499,85812.0,9931950.0
2016-12-29,8640,8940,8500,8910,137054,88494.0,9931950.0
2017-01-02,8910,9090,8820,8910,174136,88494.0,9931950.0
2017-01-03,9010,9010,8760,8850,164734,87898.0,9931950.0
2017-01-04,8980,9100,8540,8810,450128,87500.0,9931950.0
2017-01-05,8980,9070,8820,8820,326207,87600.0,9931950.0
2017-01-06,8870,8950,8720,8730,191938,86706.0,9931950.0
2017-01-09,8730,8770,8270,8310,348108,82535.0,9931950.0
2017-01-10,8300,8370,8040,8200,210638,81442.0,9931950.0
2017-01-11,8280,8690,8280,8560,227035,85017.0,9931950.0
2017-01-12,8710,10450,8710,9460,5255040,93956.0,9931950.0
2017-01-13,9640,10350,9500,9750,2166124,96837.0,9931950.0
2017-01-16,9700,9980,9300,9310,577169,92466.0,9931950.0
2017-01-17,9390,10100,9390,10050,1536958,99816.0,9931950.0
2017-01-18,9990,10300,9860,9910,820211,98426.0,9931950.0
2017-01-19,10100,10150,9630,9630,474664,95645.0,9931950.0
2017-01-20,9650,9820,9330,9430,395945,93658.0,9931950.0
2017-01-23,9420,9810,9400,9810,332543,97432.0,9931950.0
2017-01-24,9910,10200,9300,9300,460203,92367.0,9931950.0
2017-01-25,9450,9490,9050,9050,342709,89884.0,9931950.0
2017-01-26,9110,9380,9110,9200,216696,91374.0,9931950.0
2017-01-31,9250,9280,8720,8740,252378,86805.0,9931950.0
2017-02-01,8740,8980,8660,8950,232267,88891.0,9931950.0
2017-02-02,9050,9180,8480,8480,307966,84223.0,9931950.0
2017-02-03,8660,8660,8010,8510,373351,84521.0,9931950.0
2017-02-06,8630,8930,8550,8870,225877,88096.0,9931950.0
2017-02-07,8900,9480,8830,9350,618225,92864.0,9931950.0
2017-02-08,9350,9700,9310,9600,490736,95347.0,9931950.0
2017-02-09,9570,9750,9440,9750,272875,96837.0,9931950.0
2017-02-10,9680,9890,9580,9850,262172,97830.0,9931950.0
2017-02-13,9850,9920,9380,9410,227542,93460.0,9931950.0
2017-02-14,9410,9850,9280,9510,357076,94453.0,9931950.0
2017-02-15,9620,9640,9380,9380,193071,93162.0,9931950.0
2017-02-16,9390,9610,9250,9610,163498,95446.0,9931950.0
2017-02-17,9550,9810,9500,9700,249035,96340.0,9931950.0
2017-02-20,9720,10150,9600,10150,482611,100809.0,9931950.0
2017-02-21,10150,10250,10000,10150,323175,100809.0,9931950.0
2017-02-22,10200,10250,9710,9730,466979,96638.0,9931950.0
2017-02-23,9760,9970,9590,9740,227321,96737.0,9931950.0
2017-02-24,9730,9730,9360,9370,199216,93062.0,9931950.0
2017-02-27,9350,9470,9210,9390,108167,93261.0,9931950.0
2017-02-28,9410,9580,9280,9280,102411,92168.0,9931950.0
2017-03-02,9400,9400,8870,8890,186096,88295.0,9931950.0
2017-03-03,8870,9000,8480,8950,248904,88891.0,9931950.0
2017-03-06,8950,9500,8860,9490,228829,94254.0,9931950.0
2017-03-07,9590,9760,9460,9570,295437,95049.0,9931950.0
2017-03-08,9590,9660,9420,9460,100195,93956.0,9931950.0
2017-03-09,9510,9770,9370,9370,228902,93062.0,9931950.0
2017-03-10,9440,9570,8880,9570,140079,95049.0,9931950.0
2017-03-13,9620,9620,9450,9460,87716,93956.0,9931950.0
2017-03-14,9420,9480,9210,9330,128313,92665.0,9931950.0
2017-03-15,9330,9460,9180,9280,108166,92168.0,9931950.0
2017-03-16,9330,10100,9330,9900,1082027,98326.0,9931950.0
2017-03-17,9810,9900,9490,9570,460958,95049.0,9931950.0
2017-03-20,9610,9750,9500,9500,143104,94354.0,9931950.0
2017-03-21,9490,11450,9490,10300,7022403,102299.0,9931950.0
2017-03-22,10250,10450,10000,10400,1126340,103292.0,9931950.0
2017-03-23,10350,10400,9700,9700,962539,96340.0,9931950.0
2017-03-24,9880,10100,9600,9860,520114,97929.0,9931950.0
2017-03-27,9820,9970,9510,9510,381635,94453.0,9931950.0
2017-03-28,9600,9820,9600,9710,254829,96439.0,9931950.0
2017-03-29,9780,10150,9650,10100,493557,100313.0,9931950.0
2017-03-30,10200,10250,9860,9860,273416,97929.0,9931950.0
2017-03-31,9950,10350,9860,10250,361994,101802.0,9931950.0
2017-04-03,10150,10350,10000,10100,301487,100313.0,9931950.0
2017-04-04,10250,10800,10150,10650,1224166,105775.0,9931950.0
2017-04-05,10700,10900,10400,10650,587532,105775.0,9931950.0
2017-04-06,10650,10650,10150,10200,476606,101306.0,9931950.0
2017-04-07,10300,10500,10150,10500,303731,104285.0,9931950.0
2017-04-10,10450,10500,9910,9970,430068,99022.0,9931950.0
2017-04-11,9990,10200,9690,9910,283129,98426.0,9931950.0
2017-04-12,9970,9970,9680,9830,165939,97631.0,9931950.0
2017-04-13,9780,10200,9780,10100,172776,100313.0,9931950.0
2017-04-14,10100,10150,9700,9780,219924,97134.0,9931950.0
2017-04-17,9860,9960,9730,9880,180835,98128.0,9931950.0
2017-04-18,9930,10050,9730,9990,256889,99220.0,9931950.0
2017-04-19,10100,10400,9980,10000,385162,99320.0,9931950.0
2017-04-20,9990,10000,9760,9800,177357,97333.0,9931950.0
2017-04-21,9810,9850,9660,9750,180037,96837.0,9931950.0
2017-04-24,9800,9800,9460,9460,229885,93956.0,9931950.0
2017-04-25,9460,9560,9360,9520,101793,94552.0,9931950.0
2017-04-26,9540,9610,9290,9290,220569,92268.0,9931950.0
2017-04-27,9290,9380,9060,9100,195920,90381.0,9931950.0
2017-04-28,9110,9180,8830,8830,211982,87699.0,9931950.0
2017-05-02,8860,9300,8710,9180,247549,91175.0,9931950.0
2017-05-04,9120,9300,9110,9220,100860,91573.0,9931950.0
2017-05-08,9190,9280,9160,9210,74787,91473.0,9931950.0
2017-05-10,9210,9300,9120,9140,98047,90778.0,9931950.0
2017-05-11,9060,9180,9060,9150,85528,90877.0,9931950.0
2017-05-12,9100,9150,8970,9020,98048,89586.0,9931950.0
2017-05-15,8920,9060,8920,8960,62909,88990.0,9931950.0
2017-05-16,8980,8980,8480,8550,260551,84918.0,9931950.0
2017-05-17,8600,8670,8490,8550,138375,84918.0,9931950.0
2017-05-18,8470,8600,8430,8540,95613,84819.0,9931950.0
2017-05-19,8500,8860,8500,8760,112048,87004.0,9931950.0
2017-05-22,8740,8860,8740,8800,72936,87401.0,9931950.0
2017-05-23,8750,8880,8730,8810,58430,87500.0,9931950.0
2017-05-24,8770,8900,8700,8790,59354,87302.0,9931950.0
2017-05-25,8750,8800,8600,8600,81048,85415.0,9931950.0
2017-05-26,8690,8690,8550,8600,52833,85415.0,9931950.0
2017-05-29,8530,8700,8270,8300,146258,82435.0,9931950.0
2017-05-30,8300,8590,8250,8590,73239,85315.0,9931950.0
2017-05-31,8520,8600,8450,8590,50774,85315.0,9931950.0
2017-06-01,8510,8590,8400,8490,55890,84322.0,9931950.0
2017-06-02,8490,8740,8490,8680,70403,86209.0,9931950.0
2017-06-05,8650,8720,8620,8690,42560,86309.0,9931950.0
2017-06-07,8690,8690,8530,8650,62569,85911.0,9931950.0
2017-06-08,8650,8650,8420,8470,69261,84124.0,9931950.0
2017-06-09,8470,8550,8300,8350,94598,82932.0,9931950.0
2017-06-12,8310,8310,8000,8060,159368,80052.0,9931950.0
2017-06-13,7980,8140,7750,7920,207056,78661.0,9931950.0
2017-06-14,7980,8100,7840,8100,88326,80449.0,9931950.0
2017-06-15,8060,8160,7900,8070,74776,80151.0,9931950.0
2017-06-16,8040,8150,7920,8140,54884,80846.0,9931950.0
2017-06-19,8110,8270,8110,8220,61937,81641.0,9931950.0
2017-06-20,8200,8230,7980,8210,82144,81541.0,9931950.0
2017-06-21,8200,8200,7900,8000,95753,79456.0,9931950.0
2017-06-22,7900,8000,7840,7900,66099,78462.0,9931950.0
2017-06-23,7850,8080,7850,8000,68246,79456.0,9931950.0
2017-06-26,7950,8060,7710,7710,85402,76575.0,9931950.0
2017-06-27,7700,7750,7510,7510,149571,74589.0,9931950.0
2017-06-28,7510,8260,7510,8150,469643,80945.0,9931950.0
2017-06-29,8050,8140,7960,8050,93223,79952.0,9931950.0
2017-06-30,8050,8180,7880,7990,121812,79356.0,9931950.0
2017-07-03,7930,8050,7660,7750,107184,76973.0,9931950.0
2017-07-04,7730,7810,7650,7770,53661,77171.0,9931950.0
2017-07-05,7690,7800,7670,7770,54620,77171.0,9931950.0
2017-07-06,7840,7910,7700,7790,65199,77370.0,9931950.0
2017-07-07,7790,7790,7520,7670,80182,76178.0,9931950.0
2017-07-10,7670,7790,7450,7600,83121,75483.0,9931950.0
2017-07-11,7570,7680,7550,7650,51487,75979.0,9931950.0
2017-07-12,7600,8040,7600,8000,137969,79456.0,9931950.0
2017-07-13,8000,8100,7810,7890,102491,78363.0,9931950.0
2017-07-14,7850,7960,7770,7880,43072,78264.0,9931950.0
2017-07-17,7830,7920,7770,7900,59217,78462.0,9931950.0
2017-07-18,7840,8070,7840,8020,74771,79654.0,9931950.0
2017-07-19,8020,8090,7950,8000,33498,79456.0,9931950.0
2017-07-20,7980,8060,7790,7950,89904,78959.0,9931950.0
2017-07-21,7930,8210,7930,8120,335410,80647.0,9931950.0
2017-07-24,8190,8200,7950,7960,116875,79058.0,9931950.0
2017-07-25,7960,8050,7670,7710,208643,76575.0,9931950.0
2017-07-26,7690,7800,7640,7650,47556,75979.0,9931950.0
2017-07-27,7630,7730,7620,7710,42867,76575.0,9931950.0
2017-07-28,7650,7710,7450,7550,75338,74986.0,9931950.0
2017-07-31,7490,7620,7490,7490,32886,74390.0,9931950.0
2017-08-01,7380,7560,7380,7500,29143,74490.0,9931950.0
2017-08-02,7540,7590,7480,7550,21808,74986.0,9931950.0
2017-08-03,7550,7610,7200,7290,79495,72404.0,9931950.0
2017-08-04,7290,7330,7090,7140,57810,70914.0,9931950.0
2017-08-07,7080,7270,7080,7190,44927,71411.0,9931950.0
2017-08-08,7150,7290,7120,7120,26315,70715.0,9931950.0
2017-08-09,7080,7240,7050,7050,33943,70020.0,9931950.0
2017-08-10,7060,7140,6930,6970,36164,69226.0,9931950.0
2017-08-11,6910,6970,6720,6910,82614,68630.0,9931950.0
2017-08-14,6910,6990,6850,6850,21581,68034.0,9931950.0
2017-08-16,6750,6840,6610,6680,77253,66345.0,9931950.0
2017-08-17,6690,6830,6690,6810,31882,67637.0,9931950.0
2017-08-18,6820,6920,6700,6840,34975,67935.0,9931950.0
2017-08-21,6880,6890,6700,6890,26559,68431.0,9931950.0
2017-08-22,6900,6980,6800,6930,34354,68828.0,9931950.0
2017-08-23,6980,7020,6920,6950,30017,69027.0,9931950.0
2017-08-24,6950,7000,6900,6940,38378,68928.0,9931950.0
2017-08-25,6990,7010,6880,6940,40131,68928.0,9931950.0
2017-08-28,6960,6990,6880,6930,16806,68828.0,9931950.0
2017-08-29,6850,6960,6820,6910,23029,68630.0,9931950.0
